index,max_depth,min_samples,time,accuracy,f1_score,recall
0,2,2,8.716686010360718,0.9495332008548611,0.9043573244050658,0.878629395852119
1,2,3,7.379832744598389,0.9495332008548611,0.9043573244050658,0.878629395852119
2,2,4,7.316431999206543,0.9495332008548611,0.9043573244050658,0.878629395852119
3,2,5,7.5976481437683105,0.9495332008548611,0.9043573244050658,0.878629395852119
4,2,6,7.801192760467529,0.9495332008548611,0.9043573244050658,0.878629395852119
5,2,7,7.622645139694214,0.9495332008548611,0.9043573244050658,0.878629395852119
6,2,8,7.268564224243164,0.9495332008548611,0.9043573244050658,0.878629395852119
7,2,9,7.261603116989136,0.9495332008548611,0.9043573244050658,0.878629395852119
8,3,2,9.25820517539978,0.9567254580777875,0.9203215460039134,0.8975653742110009
9,3,3,9.267181873321533,0.9567254580777875,0.9203215460039134,0.8975653742110009
10,3,4,9.272228240966797,0.9567254580777875,0.9203215460039134,0.8975653742110009
11,3,5,9.43873143196106,0.9567254580777875,0.9203215460039134,0.8975653742110009
12,3,6,9.55344557762146,0.9567254580777875,0.9203215460039134,0.8975653742110009
13,3,7,9.402822017669678,0.9567254580777875,0.9203215460039134,0.8975653742110009
14,3,8,9.560401201248169,0.9567254580777875,0.9203215460039134,0.8975653742110009
15,3,9,9.44174075126648,0.9567254580777875,0.9203215460039134,0.8975653742110009
16,4,2,10.559725284576416,0.9895671702735811,0.9829375515194352,0.9769612263300271
17,4,3,10.594696283340454,0.9895671702735811,0.9829375515194352,0.9769612263300271
18,4,4,10.631572961807251,0.9894872213603332,0.9828022346662788,0.9767808836789901
19,4,5,10.601642370223999,0.9893074317430519,0.9824976687504143,0.9763751127141569
20,4,6,10.56470513343811,0.9893074317430519,0.9824976687504143,0.9763751127141569
21,4,7,11.051444053649902,0.9893074317430519,0.9824976687504143,0.9763751127141569
22,4,8,10.643531560897827,0.9893074317430519,0.9824976687504143,0.9763751127141569
23,4,9,11.805423021316528,0.9893673469387755,0.9825992065777952,0.9765103697024347
24,5,2,13.433070421218872,0.9934966042395554,0.9895005255780058,0.9857529305680793
25,5,3,11.658943891525269,0.9936998147004323,0.989835329887866,0.9862037871956717
26,5,4,11.593995332717896,0.9937811457518224,0.9899692041997428,0.9863841298467088
27,5,5,11.580025434494019,0.9933747582404016,0.9892995616126776,0.9854824165915239
28,5,6,11.809445142745972,0.9925842235004109,0.9879918030016348,0.9837240757439134
29,5,7,12.007505178451538,0.9938421616278112,0.9900695921729956,0.9865193868349864
30,5,8,11.582021236419678,0.9945143328521344,0.9911728576399788,0.9880072137060415
31,5,9,11.581032276153564,0.9945755300717762,0.9912730636098072,0.9881424706943192
32,6,2,12.70401906967163,0.9992296802131913,0.9987790647007974,0.9983318304779081
33,6,3,13.204681634902954,0.999396034655115,0.9990432368437197,0.998692515779982
34,6,4,12.639199018478394,0.9999374530898173,0.9999010869461258,0.9998647430117222
35,6,5,12.793782711029053,0.9999374530898173,0.9999010869461258,0.9998647430117222
36,6,6,12.801728248596191,0.9996457742957159,0.9994393023013418,0.9992335437330928
37,6,7,12.794747829437256,0.9990634365634365,0.9985147895728845,0.9979711451758341
38,6,8,12.86556339263916,0.9992088937002956,0.998746035944991,0.9982867448151488
39,6,9,12.842623472213745,0.9992920501395077,0.9988781413145907,0.9984670874661857
40,7,2,13.459031105041504,1.0,1.0,1.0
41,7,3,13.257508754730225,1.0,1.0,1.0
42,7,4,13.283440828323364,1.0,1.0,1.0
43,7,5,13.209638595581055,1.0,1.0,1.0
44,7,6,13.322351694107056,1.0,1.0,1.0
45,7,7,13.498859405517578,1.0,1.0,1.0
46,7,8,13.530807256698608,1.0,1.0,1.0
47,7,9,13.278453826904297,1.0,1.0,1.0
48,8,2,13.486937046051025,1.0,1.0,1.0
49,8,3,13.917744159698486,1.0,1.0,1.0
50,8,4,13.646497249603271,1.0,1.0,1.0
51,8,5,13.514886617660522,1.0,1.0,1.0
52,8,6,13.532792329788208,1.0,1.0,1.0
53,8,7,13.554713487625122,1.0,1.0,1.0
54,8,8,13.28244137763977,1.0,1.0,1.0
55,8,9,14.076379537582397,1.0,1.0,1.0
56,9,2,13.690351963043213,1.0,1.0,1.0
57,9,3,13.861006498336792,1.0,1.0,1.0
58,9,4,13.63920259475708,1.0,1.0,1.0
59,9,5,13.578525066375732,1.0,1.0,1.0
60,9,6,13.77527141571045,1.0,1.0,1.0
61,9,7,13.716921329498291,1.0,1.0,1.0
62,9,8,13.685886859893799,1.0,1.0,1.0
63,9,9,13.751192331314087,1.0,1.0,1.0
